key,kind,research,resolved_result,resolved_catalyst,resolved_components
BalancedShard_0,CRUCIBLE,CRUCIBLE,thaumcraft:tc4_shard_balanced,thaumcraft:tc4_shard_aer,
PrimalArrow_0,ARCANE_SHAPED,PRIMALARROW,thaumcraft:tc4_el_arrow_air,minecraft:arrow,thaumcraft:tc4_shard_aer
BalancedShard_1,CRUCIBLE,CRUCIBLE,thaumcraft:tc4_shard_balanced,thaumcraft:tc4_shard_ignis,
PrimalArrow_1,ARCANE_SHAPED,PRIMALARROW,thaumcraft:tc4_el_arrow_fire,minecraft:arrow,thaumcraft:tc4_shard_ignis
BalancedShard_2,CRUCIBLE,CRUCIBLE,thaumcraft:tc4_shard_balanced,thaumcraft:tc4_shard_aqua,
PrimalArrow_2,ARCANE_SHAPED,PRIMALARROW,thaumcraft:tc4_el_arrow_water,minecraft:arrow,thaumcraft:tc4_shard_aqua
BalancedShard_3,CRUCIBLE,CRUCIBLE,thaumcraft:tc4_shard_balanced,thaumcraft:tc4_shard_terra,
PrimalArrow_3,ARCANE_SHAPED,PRIMALARROW,thaumcraft:tc4_el_arrow_earth,minecraft:arrow,thaumcraft:tc4_shard_terra
BalancedShard_4,CRUCIBLE,CRUCIBLE,thaumcraft:tc4_shard_balanced,thaumcraft:tc4_shard_ordo,
PrimalArrow_4,ARCANE_SHAPED,PRIMALARROW,thaumcraft:tc4_el_arrow_order,minecraft:arrow,thaumcraft:tc4_shard_ordo
BalancedShard_5,CRUCIBLE,CRUCIBLE,thaumcraft:tc4_shard_balanced,thaumcraft:tc4_shard_perditio,
PrimalArrow_5,ARCANE_SHAPED,PRIMALARROW,thaumcraft:tc4_el_arrow_entropy,minecraft:arrow,thaumcraft:tc4_shard_perditio
Alumentum,CRUCIBLE,ALUMENTUM,thaumcraft:tc4_alumentum,minecraft:coal,
Nitor,CRUCIBLE,NITOR,thaumcraft:tc4_nitor,minecraft:glowstone_dust,
Thaumium,CRUCIBLE,THAUMIUM,thaumcraft:tc4_thaumiumingot,minecraft:iron_ingot,
VoidMetal,CRUCIBLE,VOIDMETAL,thaumcraft:tc4_voidingot,thaumcraft:tc4_voidseed,
VoidSeed,CRUCIBLE,VOIDMETAL,thaumcraft:tc4_voidseed,minecraft:ender_pearl,
Tallow,CRUCIBLE,TALLOW,thaumcraft:tc4_tallow,minecraft:rotten_flesh,
AltGunpowder,CRUCIBLE,ALCHEMICALDUPLICATION,minecraft:gunpowder,minecraft:gunpowder,
AltSlime,CRUCIBLE,ALCHEMICALDUPLICATION,minecraft:slime_ball,minecraft:slime_ball,
AltClay,CRUCIBLE,ALCHEMICALDUPLICATION,minecraft:clay_ball,minecraft:clay_ball,
AltGlowstone,CRUCIBLE,ALCHEMICALDUPLICATION,minecraft:glowstone_dust,minecraft:glowstone_dust,
AltInk,CRUCIBLE,ALCHEMICALDUPLICATION,minecraft:black_dye,minecraft:black_dye,
AltWeb,CRUCIBLE,ALCHEMICALMANUFACTURE,minecraft:cobweb,minecraft:string,
AltMossyCobble,CRUCIBLE,ALCHEMICALMANUFACTURE,minecraft:mossy_cobblestone,minecraft:cobblestone,
AltIce,CRUCIBLE,ALCHEMICALMANUFACTURE,minecraft:ice,minecraft:snow,
AltCrackedBrick,CRUCIBLE,ENTROPICPROCESSING,minecraft:stone_bricks,minecraft:stone_bricks,
AltBonemeal,CRUCIBLE,ENTROPICPROCESSING,minecraft:black_dye,minecraft:bone,
PureIron,CRUCIBLE,PUREIRON,thaumcraft:tc4_clusteriron,minecraft:raw_iron,
PureGold,CRUCIBLE,PUREGOLD,thaumcraft:tc4_clustergold,minecraft:raw_gold,
PureCopper,CRUCIBLE,PURECOPPER,thaumcraft:tc4_clustercopper,minecraft:raw_copper,
TransIron,CRUCIBLE,TRANSIRON,thaumcraft:tc4_nuggetiron,minecraft:iron_nugget,
TransGold,CRUCIBLE,TRANSGOLD,minecraft:gold_nugget,minecraft:gold_nugget,
TransCopper,CRUCIBLE,TRANSCOPPER,thaumcraft:tc4_nuggetcopper,thaumcraft:tc4_nuggetcopper,
TransTin,CRUCIBLE,TRANSTIN,thaumcraft:tc4_nuggettin,thaumcraft:tc4_nuggettin,
TransSilver,CRUCIBLE,TRANSSILVER,thaumcraft:tc4_nuggetsilver,thaumcraft:tc4_nuggetsilver,
TransLead,CRUCIBLE,TRANSLEAD,thaumcraft:tc4_nuggetlead,thaumcraft:tc4_nuggetlead,
EtherealBloom,CRUCIBLE,ETHEREALBLOOM,thaumcraft:tc4_block_ethereal_bloom,thaumcraft:tc4_block_shimmerleaf,
LiquidDeath,CRUCIBLE,LIQUIDDEATH,thaumcraft:tc4_bucket_death,minecraft:compass,
BottleTaint,CRUCIBLE,BOTTLETAINT,thaumcraft:tc4_bottle_taint,thaumcraft:tainted_soil,
GolemStraw,CRUCIBLE,GOLEMSTRAW,thaumcraft:tc4_golem_wood,minecraft:packed_ice,
GolemWood,CRUCIBLE,GOLEMWOOD,thaumcraft:tc4_golem_wood,thaumcraft:tc4_block_greatwood_log,
GolemTallow,CRUCIBLE,GOLEMTALLOW,thaumcraft:tc4_golem_tallow,thaumcraft:tc4_block_obsidian_totem_4,
GolemClay,CRUCIBLE,GOLEMCLAY,thaumcraft:tc4_golem_wood,minecraft:diamond_block,
GolemStone,CRUCIBLE,GOLEMSTONE,thaumcraft:tc4_golem_wood,minecraft:stone_bricks,
GolemIron,CRUCIBLE,GOLEMIRON,thaumcraft:tc4_golem_wood,minecraft:glass,
GolemThaumium,CRUCIBLE,GOLEMTHAUMIUM,thaumcraft:tc4_golem_thaumium,thaumcraft:tc4_block_obsidian_totem_3,
CoreGather,CRUCIBLE,COREGATHER,thaumcraft:tc4_golem_core_gather,thaumcraft:tc4_golem_core_blank,
CoreFill,CRUCIBLE,COREFILL,thaumcraft:tc4_golem_core_fill,thaumcraft:tc4_golem_core_blank,
CoreEmpty,CRUCIBLE,COREEMPTY,thaumcraft:tc4_golem_core_empty,thaumcraft:tc4_golem_core_blank,
CoreHarvest,CRUCIBLE,COREHARVEST,thaumcraft:tc4_golem_core_harvest,thaumcraft:tc4_golem_core_blank,
CoreGuard,CRUCIBLE,COREGUARD,thaumcraft:tc4_golem_core_guard,thaumcraft:tc4_golem_core_blank,
CoreButcher,CRUCIBLE,COREBUTCHER,thaumcraft:tc4_golem_core_butcher,thaumcraft:tc4_golem_core_guard,
CoreLiquid,CRUCIBLE,CORELIQUID,thaumcraft:tc4_golem_core_liquid,thaumcraft:tc4_golem_core_blank,
BathSalts,CRUCIBLE,BATHSALTS,thaumcraft:tc4_bath_salts,thaumcraft:tc4_dust,
SaneSoap,CRUCIBLE,SANESOAP,thaumcraft:tc4_soap,thaumcraft:tc4_block_obsidian_totem_4,
'Banner_' + a,ARCANE_SHAPED,BANNERS,minecraft:white_banner,minecraft:white_wool,minecraft:stick|minecraft:oak_slab
PrimalCharm,ARCANE_SHAPED,BASICARTIFACE,thaumcraft:tc4_charm,thaumcraft:tc4_shard_balanced,minecraft:gold_ingot|thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_ignis|thaumcraft:tc4_shard_aqua|thaumcraft:tc4_shard_terra|thaumcraft:tc4_shard_ordo|thaumcraft:tc4_shard_perditio
ArcaneDoor,ARCANE_SHAPED,WARDEDARCANA,thaumcraft:tc4_arcanedoor,thaumcraft:tc4_thaumiumingot,thaumcraft:tc4_brain|thaumcraft:tc4_block_greatwood_planks
IronKey,ARCANE_SHAPED,WARDEDARCANA,thaumcraft:tc4_keyiron,minecraft:iron_ingot,minecraft:iron_nugget
FluxScrubber,ARCANE_SHAPED,FLUXSCRUB,thaumcraft:tc4_block_flux_scrubber,minecraft:iron_bars,thaumcraft:tc4_filter|thaumcraft:tc4_block_paving_travel
GoldKey,ARCANE_SHAPED,WARDEDARCANA,thaumcraft:tc4_keyiron,minecraft:gold_ingot,minecraft:gold_nugget
ArcanePressurePlate,ARCANE_SHAPED,WARDEDARCANA,thaumcraft:tc4_block_arcane_pressure_plate,thaumcraft:tc4_thaumiumingot,thaumcraft:tc4_brain|thaumcraft:tc4_block_greatwood_planks
NodeStabilizer,ARCANE_SHAPED,NODESTABILIZER,thaumcraft:tc4_block_node_stabilizer,thaumcraft:tc4_block_paving_travel,minecraft:gold_ingot|minecraft:obsidian|minecraft:quartz_block|thaumcraft:tc4_nitor
NodeTransducer,ARCANE_SHAPED,VISPOWER,thaumcraft:tc4_block_node_transducer,thaumcraft:tc4_block_node_stabilizer,minecraft:quartz|minecraft:iron_ingot|minecraft:redstone_block|thaumcraft:tc4_nitor
FocalManipulator,ARCANE_SHAPED,FOCALMANIPULATION,thaumcraft:tc4_block_focal_manipulator,thaumcraft:tc4_block_arcane_stone_slab,thaumcraft:tc4_block_arcane_stone|thaumcraft:table|minecraft:iron_ingot|minecraft:gold_ingot|thaumcraft:tc4_charm
GolemFetter,ARCANE_SHAPED,GOLEMFETTER,thaumcraft:tc4_block_thaumium,thaumcraft:tc4_block_arcane_stone,minecraft:iron_ingot|thaumcraft:tc4_block_paving_travel|minecraft:redstone_block
ArcaneStone1,ARCANE_SHAPED,ARCANESTONE,thaumcraft:tc4_block_arcane_stone,minecraft:stone,thaumcraft:tc4_shard_aer
PaveTravel,ARCANE_SHAPED,PAVETRAVEL,thaumcraft:tc4_block_obsidian_totem_1,thaumcraft:tc4_block_paving_travel,thaumcraft:tc4_shard_aer|thaumcraft:tc4_shard_terra
ArcaneLamp,ARCANE_SHAPED,ARCANELAMP,thaumcraft:tc4_block_arcane_lamp,minecraft:glowstone,thaumcraft:tc4_nitor|minecraft:iron_ingot
ArcaneSpa,ARCANE_SHAPED,ARCANESPA,thaumcraft:tc4_block_arcane_spa,minecraft:obsidian,thaumcraft:tc4_block_arcane_stone|minecraft:quartz_block|minecraft:iron_bars
PaveWard,ARCANE_SHAPED,PAVEWARD,thaumcraft:tc4_block_obsidian_totem_2,thaumcraft:tc4_block_paving_travel,thaumcraft:tc4_shard_ignis|thaumcraft:tc4_shard_ordo
Levitator,ARCANE_SHAPED,LEVITATOR,thaumcraft:tc4_block_levitator,thaumcraft:tc4_block_greatwood_planks,thaumcraft:tc4_shard_terra|thaumcraft:tc4_shard_aer|thaumcraft:tc4_nitor|minecraft:iron_ingot
ArcaneEar,ARCANE_SHAPED,ARCANEEAR,thaumcraft:tc4_block_arcane_ear,thaumcraft:tc4_block_greatwood_planks,minecraft:shears|minecraft:iron_ingot|minecraft:gold_ingot|thaumcraft:tc4_brain
MirrorGlass,ARCANE_SHAPELESS,BASICARTIFACE,thaumcraft:tc4_mirrorglass,thaumcraft:tc4_quicksilver,minecraft:hopper
BoneBow,ARCANE_SHAPED,BONEBOW,thaumcraft:tc4_bonebow,thaumcraft:tc4_shard_perditio,minecraft:bone|minecraft:string
InfusionMatrix,ARCANE_SHAPED,INFUSION,thaumcraft:tc4_block_infusion_matrix,thaumcraft:tc4_block_arcane_stone,minecraft:ender_eye|thaumcraft:tc4_shard_aer
ArcanePedestal,ARCANE_SHAPED,INFUSION,thaumcraft:tc4_block_arcane_pedestal,thaumcraft:tc4_block_arcane_stone,
WardedJar,ARCANE_SHAPED,DISTILESSENTIA,thaumcraft:tc4_block_essentia_jar,minecraft:oak_slab,minecraft:hopper
WandRodGreatwood,ARCANE_SHAPED,ROD_greatwood,thaumcraft:tc4_wand_rod_greatwood,thaumcraft:tc4_block_greatwood_log,
WandRodGreatwoodStaff,ARCANE_SHAPED,ROD_greatwood_staff,thaumcraft:tc4_staff_rod_greatwood,thaumcraft:tc4_charm,thaumcraft:tc4_wand_rod_greatwood
WandRodObsidianStaff,ARCANE_SHAPED,ROD_obsidian_staff,thaumcraft:tc4_staff_rod_obsidian,thaumcraft:tc4_charm,thaumcraft:tc4_wand_rod_obsidian
