PASS | version agreement
PASS | mandatory prompt identity
PASS | prompt token Один релиз — один предмет или одна цельная механика
PASS | prompt token Упаковка архива без этого файла запрещена
PASS | prompt token SOURCE CLOSED
PASS | prompt token RESOURCE CLOSED
PASS | prompt token BUILD VERIFIED
PASS | prompt token RUNTIME VERIFIED
PASS | Arcane Lamp full-closure guard
PASS | Java 17 self-test and targeted parse
PASS | JSON resources
PASS | runtime manifest
PASS | recipe denominator
PASS | GameTest uniqueness
PASS | manifest uniqueness
PASS | clean source tree
PASS | report and evidence
PASS | honest statuses
PASS | honest Gradle evidence
PASS | focused CI evidence
FINAL RECHECK v11.64.22: PASS (20/20)
