item_model,parent,builtin_entity,gui,ground,fixed,firstperson_righthand,firstperson_lefthand,thirdperson_righthand,thirdperson_lefthand,head,runtime_status,priority
item/addon_completion_ledger.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/advanced_alchemical_furnace.json,thaumcraft:block/advanced_alchemical_furnace,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/advanced_essentia_speed_card.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/advanced_node_stabilizer.json,builtin/entity,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P0
item/aer_crystal.json,thaumcraft:block/aer_crystal,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/aer_shard.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/alchemical_centrifuge.json,minecraft:block/block,False,EXPLICIT,EXPLICIT,EXPLICIT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/alchemical_furnace.json,thaumcraft:block/alchemical_furnace,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/alchemy_dust.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/alembic.json,thaumcraft:block/alembic,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/amber.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/amber_block.json,thaumcraft:block/amber_block,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/amber_bricks.json,thaumcraft:block/amber_bricks,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/amber_ore.json,thaumcraft:block/amber_ore,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/aqua_crystal.json,thaumcraft:block/aqua_crystal,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/aqua_shard.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/arcane_assembler.json,thaumcraft:block/arcane_assembler,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/arcane_crafting_terminal.json,thaumcraft:block/arcane_crafting_terminal,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/arcane_pattern_encoder.json,thaumcraft:block/arcane_pattern_encoder,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/arcane_pattern_provider.json,thaumcraft:block/arcane_pattern_provider,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/arcane_pedestal.json,thaumcraft:block/arcane_pedestal,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/arcane_stone.json,thaumcraft:block/arcane_stone,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/arcane_stone_bricks.json,thaumcraft:block/arcane_stone_bricks,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/arcane_workbench.json,thaumcraft:block/arcane_workbench,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P1
item/aspect_aer.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P2
item/aspect_aqua.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P2
item/aspect_ignis.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P2
item/aspect_metallum.json,minecraft:item/generated,False,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,INHERITED_DEFAULT,NOT_TESTED,P2
